listing_id,high,medium,low
7142618,0.637,0.327,0.036
7210040,0.779,0.189,0.032
7103890,0.87925,0.11275,0.008
7143442,0.561,0.36,0.079
6860601,0.654,0.304,0.042
6840081,0.932,0.061,0.007
6922337,0.74775,0.211,0.04125
6913616,0.49839999999999995,0.33526666666666666,0.16633333333333333
6937820,0.7305,0.1975,0.072
6893933,0.695,0.249,0.056
6832604,0.974,0.022,0.004
6915282,0.5433,0.39025,0.06645000000000001
7127565,0.47,0.385,0.145
6827899,0.908,0.086,0.006
6934855,0.901,0.088,0.011
6861826,0.844,0.135,0.021
6871643,0.5206666666666666,0.3796666666666667,0.09966666666666667
6842542,0.831,0.135,0.034
6934145,0.751,0.186,0.063
6829365,0.5691833333333334,0.3474,0.08341666666666667
7167858,0.756,0.214,0.03
6859483,0.765,0.203,0.032
6861377,0.69525,0.22475,0.08
6848960,0.4616,0.4284,0.11
6918850,0.889,0.099,0.012
6916867,0.2601666666666667,0.569,0.17083333333333334
6895840,0.784,0.186,0.03
6813539,0.433,0.293,0.274
7116900,0.465,0.332,0.203
6890328,0.926,0.046,0.028
6879406,0.621,0.27183333333333337,0.10716666666666666
6824924,0.47275,0.4155,0.11175
6911302,0.89,0.077,0.033
6918742,0.3,0.594,0.106
6910586,0.7456666666666666,0.21933333333333335,0.035
6821750,0.633,0.28275,0.08425
6860647,0.5406666666666667,0.4013333333333334,0.058
6932873,0.4305,0.4685,0.101
6846053,0.898,0.081,0.021
6940365,0.72,0.219,0.061
6931867,0.5866,0.3384,0.075
6876383,0.7863333333333333,0.15266666666666664,0.061
6910980,0.58725,0.292,0.12075
6880877,0.9,0.083,0.017
6839552,0.604,0.341,0.055
6838051,0.449,0.414,0.137
6928201,0.415,0.282,0.303
6945608,0.473,0.453,0.074
6816147,0.757,0.214,0.029
6868129,0.599,0.317,0.084
6849448,0.657,0.315,0.028
7113677,0.442,0.412,0.146
6930856,0.862,0.123,0.015
6889594,0.607,0.308,0.085
6842682,0.8264166666666667,0.14558333333333331,0.028
6880366,0.387,0.43,0.183
6835063,0.739,0.189,0.072
6820479,0.372,0.3565,0.2715
6882057,0.718,0.266,0.016
6834440,0.7778333333333334,0.18816666666666665,0.034
6880846,0.981,0.018,0.001
6847248,0.985,0.012,0.003
6868368,0.911,0.081,0.008
6943505,0.8325,0.139,0.0285
7174304,0.962,0.033,0.005
6880747,0.586,0.2725,0.1415
6933565,0.541,0.3445,0.1145
6888511,0.939,0.053,0.008
6942704,0.547,0.367,0.086
6840304,0.549,0.347,0.104
6856860,0.8065,0.1595,0.034
6884921,0.982,0.014,0.004
6937417,0.819,0.151,0.03
6831129,0.924,0.07,0.006
6936660,0.6495,0.3,0.0505
6940667,0.931,0.063,0.006
7201307,0.8836666666666667,0.08983333333333335,0.0265
6825434,0.743,0.225,0.032
6848114,0.959,0.017,0.024
6947758,0.2415,0.167,0.5915
6897002,0.478,0.341,0.181
6926661,0.868,0.112,0.02
